kesh_bank_code,kesh_bank_name,bri_bank_code,bri_bank_name,bic,match_method,confidence,notes
BRI,Bank Rakyat Indonesia,,,,UNMAPPED,N/A,"Tidak ada baris Bank Rakyat Indonesia di sheet ""Bank Code"" BRI. Transfer BRI→BRI adalah IFT (inhouse), bukan BIF — wajar di luar cakupan export ini."
MANDIRI,Bank Mandiri,8,PT. BANK MANDIRI (PERSERO) TBK,BMRIIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
BNI,Bank Negara Indonesia,9,PT. BANK NEGARA INDONESIA (PERSERO),BNINIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
BTN,Bank Tabungan Negara,200,PT. BANK TABUNGAN NEGARA (PERSERO),BTANIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
BCA,Bank Central Asia,14,PT. BANK CENTRAL ASIA Tbk.,CENAIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
CIMB,CIMB Niaga,22,PT. BANK CIMB NIAGA TBK,BNIAIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
DANAMON,Bank Danamon,11,PT. BANK DANAMON INDONESIA Tbk.,BDINIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
PERMATA,Bank Permata,13,"PT. BANK PERMATA,TBK",BBBAIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
MAYBANK,Maybank Indonesia,16,PT. BANK MAYBANK INDONESIA Tbk.,IBBKIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
OCBC,OCBC NISP,28,"PT. BANK OCBC NISP, Tbk.",NISPIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
PANIN,Panin Bank,19,PT. PANIN BANK Tbk.,PINBIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
NOBU,Bank Nobu,503,PT. BANK NATIONALNOBU,LFIBIDJ1,NORMALIZED_NAME,HIGH,"Sheet BRI menulis ""NATIONALNOBU""; Bank Nobu = PT Bank Nationalnobu. Substring, entitas sama."
MEGA,Bank Mega,426,PT. BANK MEGA Tbk.,MEGAIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
BUKOPIN,KB Bukopin,441,PT. BANK KB BUKOPIN Tbk.,BBUKIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
SINARMAS,Bank Sinarmas,153,PT. BANK SINARMAS,SBJKIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
WOORI,Bank Woori Saudara,212,"PT. BANK WOORI SAUDARA INDONESIA 1906,TBK",BSDRIDJA,NORMALIZED_NAME,HIGH,"Sheet BRI: ""BANK WOORI SAUDARA INDONESIA 1906,TBK"". Entitas sama, hanya sufiks tahun/badan hukum."
BTPN,Bank BTPN,,,,UNMAPPED,N/A,"Tidak ada baris BTPN konvensional; sheet hanya memuat 547 BTPN Syariah. Kode 213 kini bernama ""PT Bank SMBC Indonesia Tbk"" — lihat catatan SMBC."
MAYAPADA,Bank Mayapada International,97,PT. BANK MAYAPADA Tbk.,MAYAIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
MESTIKA,Bank Mestika Dharma,151,PT. BANK MESTIKA DHARMA,MEDHIDS1,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
ARTHA_GRAHA,Bank Artha Graha Internasional,37,"PT. BANK ARTHA GRAHA INTERNASIONAL, TBK",ARTGIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
BUMI_ARTA,Bank Bumi Arta,76,PT. BANK BUMI ARTA,BBAIIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
CAPITAL,Bank Capital Indonesia,54,PT BANK CAPITAL INDONESIA,BCIAIDJA,EXACT_NAME,HIGH,Nama badan hukum identik setelah normalisasi.
